Name,Gaul_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Rwanda,205,0,0,0,0,0,0,0,0.07074391,0.08642781,0.133874248,0.151826518,0.140910901,0.094271739,0,0.078394213,0.078394213
Senegal,217,0,0,0,0,0,0,0,0.05693862,0.052637396,0.052491306,0.073373125,0.066480286,0.079706259,0.048794257,0.064993601,0.064993601
Sierra Leone,221,0,0,0,0,0,0,0,0,0,0,0.053628473,0.145104264,0.164963034,0,0.103355766,0.103355766
Somalia,226,0,0,0,0,0.000807719,0,0.000333257,8.07E-05,0.000406353,0.000968449,0.001684863,0.043114163,0.02342415,0.008526417,0.025021577,0.025021577
Swaziland,235,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Togo,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,253,0,0,0,0,0,0,0.015859624,0.064074176,0.058617478,0.048817936,0.080604032,0.072570342,0.070182491,0.068893782,0.070548872,0.070548872
United Republic of Tanzania,257,0,0,0,0,0,0,0.026809416,0.030842005,0.030869804,0.077676657,0,0,0,0,0,0
Zambia,270,0.027603173,0.003655681,0.036883913,0.029733292,0.069044566,0.108912465,0.203928291,0.270901181,0.460341234,0.438688498,0.44939487,0.552217052,0.301445145,0.073031254,0.308897817,0.308897817
Zimbabwe,271,0.216315304,0.234002104,0.163021714,0.029314341,0.321458826,0.297969365,0.237299453,0.260721227,0.145470381,0.399925368,0.473916301,0.496457171,0.456223342,0.443237536,0.465306016,0.465306016
South Africa,1013965,0,0,0,0,8.41E-07,8.29E-07,8.17E-07,0.805998257,0.795429023,0.785647373,0.971057276,0.961448846,0.953084759,0.438491155,0.784341587,0.784341587
