Name,Gaul_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sudan,6,0,0,0.09477203,0.080715991,0.074458915,0.087338238,0.091332785,0.115112066,0.066639787,0.048071533,0.069131051,0.079866637,0.104832628,0.086833278,0.090510848,0.090510848
Angola,8,0,0,0,0.001934483,0,0.035527678,0.045410605,0.034476943,0.040540403,0.025584644,0.033166229,0.034041617,0.032341024,0.019449576,0.028610739,0.028610739
Benin,29,0,0,0,0,0,0,0,0,0.057970969,0.05528995,0.066713819,0.043439409,0.068884028,0.067058955,0.05979413,0.05979413
Botswana,35,0,0.261944872,0.232541195,0.222485523,0.240717734,0.23538354,0.279126442,0.181767348,0.169436429,0.186909278,0.19691473,0.161578194,0.125927443,0.134961629,0.140822422,0.140822422
Burkina Faso,42,0,0,0,0,0,0,0,0,0,0,0.007287508,0.007300226,0.007027701,0,0.004775976,0.004775976
Burundi,43,0,0,0.020459766,0.020835576,0,0.079107605,0,0,0,0.000550025,0.035540651,0.030218478,0.007729807,0,0.012649428,0.012649428
Cameroon,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,68,0,0,0,0,0,0,0,0,0.001408812,0.001554631,0.001575558,0.001749018,0.001572899,0.000534298,0.001285405,0.001285405
Djibouti,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,74,0,0,0,0,0,0,0,0,0,0,0,0,0.016178206,0.03036775,0.015515319,0.015515319
Equatorial Guinea,76,0,0,0,0,0.081647951,0.163076069,0.186313133,0.226499081,0.463135029,0.584872964,0,0,0.202513865,0.171608415,0.124707427,0.124707427
Eritrea,77,0,0.049075014,0.036938174,0.031067928,0.055433957,0.053611877,0.041422554,0.058784428,0.046771349,0.022311225,0.030967069,0.046225246,0.048750982,0.043603351,0.046193193,0.046193193
Ethiopia,79,0.064279425,0.064982606,0.081572321,0.089034701,0.085171452,0.076664379,0.114076825,0.09838644,0.509461737,0.499087788,0.46313579,0.348316369,0.093071069,0.367121994,0.269503144,0.269503144
Gabon,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,90,0,0,0,0,0,0,0,0,0,0.515568719,0.236978874,0.443042134,0.277900039,0.445011507,0.388651227,0.388651227
Ghana,94,0,0,0,0,0,0,0.009089931,0.010628619,0.025985845,0.02981475,0.034924056,0.037227805,0.083204166,0.112962948,0.077798306,0.077798306
Guinea-Bissau,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,106,0,0,0,0,0,0,0,0.004734205,0.00329157,0.003503692,0.00325533,0,0,0,0,0
Kenya,133,0,0,0,0,0.011327456,0.0170925,0.01968192,0.120518345,0.103865163,0.048578795,0.047819505,0.057356956,0.0742434,0,0.043866785,0.043866785
Liberia,144,0,0,0,0,0,0,0,0,0,0.0416837,0.105741292,0.203336162,0.227416601,0.08500525,0.171919338,0.171919338
Madagascar,150,0,0,0,0.01456639,0.027325343,0.022369939,0.066397769,0.064082445,0.329403868,0.348813829,0.465170435,0.461840721,0.071640588,0.06888812,0.20078981,0.20078981
Malawi,152,0,0,0,0,0,0,0,0.007123748,0.006984489,0.019859847,0.135826917,0.020848395,0.117853454,0,0.04623395,0.04623395
Mali,155,0,0,0,0,0,0,0,0.031900937,0.030904083,0.028479299,0.031517737,0.048335323,0.050936798,0.053892821,0.051054981,0.051054981
Mauritania,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,170,0,0,0,0,0,0,0,0.290747602,0.286740797,0.362007819,0.312649254,0.346199467,0.070798305,0.372436147,0.26314464,0.26314464
Namibia,172,0,0.263885379,0.286346644,0.22620314,0.186236089,0.21938973,0.312927258,0.325691308,0.153795292,0.316336032,0.361849138,0.376785067,0.344977909,0.362487389,0.361416788,0.361416788
Niger,181,0,0,0,0,0,0,0,0,0,0,0,0.011304375,0.011236546,0,0.00751364,0.00751364
Nigeria,182,0,0,0,0,0,0,3.14E-05,2.04E-05,0,0.002123129,0.001252012,0.001078683,0.014290445,0,0.005123043,0.005123043
